Rank,Ticker,Company,Country,Bucket,Role,AlphaScore,RiskAdjScore,Hiddenness,Notes,CombinedScore
1,ASMPT,ASMPT,Hong Kong,Hidden,Die bonders / assembly equipment,9,8,9,AMICRA sub-micron bonding for CPO assembly.,8.65
2,6890.T,Ferrotec,Japan,Hidden,Micro-TECs / thermal control,9,8,9,Cooling bottleneck for laser stability.,8.65
5,LPKF,LPKF,Germany,Hidden,Glass via drilling / TGV tools,9,7,9,Glass substrate bottleneck and TGV process lever.,8.3
12,6941.T,Yamaichi,Japan,Hidden,Test sockets / connectors,8,7,9,Socket bottleneck for high-speed optical test.,7.85
3,VECO,Veeco,USA,Hidden,MOCVD / epitaxy tools,9,8,8,InP laser growth tools; hidden equipment winner.,8.45
9,FURX,Furukawa Electric,Japan,Hidden,Cables / lasers / optical components,8,8,8,Remote laser source / FITEL activity.,8.0
10,SMHN,SUSS MicroTec,Germany,Hidden,Advanced packaging equipment,8,8,8,Hybrid bonding / advanced backend exposure.,8.0
11,3587.TW,MA-tek,Taiwan,Hidden,Metrology / inspection,8,8,8,Testing / process control leverage.,8.0
20,4979.TW,LuxNet,Taiwan,Hidden,Optical modules,8,7,8,Module supplier exposure.,7.65
21,3450.TW,Elaser,Taiwan,Hidden,Laser / optical parts,8,7,8,Laser supply chain exposure.,7.65
29,FOCI,FOCI,Taiwan,Hidden,Optical components,7,7,8,Taiwan optical supplier cluster.,7.2
30,6451.TW,ShunSin,Taiwan,Hidden,Optical components,7,7,8,Supplier to optical ecosystem.,7.2
31,4977.TW,PCL,Taiwan,Hidden,Optical components,7,7,8,Niche supplier exposure.,7.2
32,1FINITY,1Finity,Japan,Hidden,Optical modules,7,7,8,Japanese optical ecosystem supplier.,7.2
33,BROADX,Broadex,China,Hidden,Optical components,7,7,8,Module/component supplier.,7.2
34,HSBB,Hisense Broadband,China,Hidden,Optical modules,7,7,8,Large Asia optical assembler.,7.2
35,AGC,AGC,Japan,Hidden,Glass / materials,7,7,8,Glass substrate optionality.,7.2
36,ASGLY,Asahi Glass ADR,Japan,Hidden,Glass / materials,7,7,8,Glass substrate optionality.,7.2
14,5801.T,Furukawa Electric,Japan,Hidden,Cables / lasers / optical components,8,8,7,Restructuring could unlock photonics value.,7.8
16,FURXF,Furukawa Electric ADR,Japan,Hidden,Cables / optics,8,8,7,US-accessible foreign exposure.,7.8
41,AXTI,AXT,USA,Hidden,Compound substrates,8,6,7,Upstream materials leverage if volume ramps.,7.1
27,FORM,FormFactor,USA,Hidden,Test / probe / validation,7,8,7,Useful if optical validation expands.,7.35
28,EXFO,EXFO,Canada,Hidden,Test / instrumentation,7,8,7,Validation and test leverage.,7.35
47,3289.TW,IST,Taiwan,Hidden,Optical / industrial tech,7,7,7,Adjacent supplier exposure.,7.0
78,OI,O-I Glass,USA,Hidden,Glass manufacturing,5,6,7,Optionality only; glass thesis is less direct.,5.75
